Deutsch;Englisch;Französisch;Italienisch;Spanisch
Vertragshändler;official distributer;revendeur agrée;distributore ufficiale;distribuidor oficial
Beratung;consulting service;service de consultation;consultazione;asesoramiento
Markt;market (s);marché;mercato;mercado
wachsen;grow (v);croître;crescere;crecer
Vertrieb;distribution;distribution;distribuzione;distribución
werben;advertise (v);faire de la publicité;fare pubblicità;hacer publicidad
Weltmarkt;world market;marché mondial;mercato mondiale;mercado mundial
Vertriebsleiter;sales manager;chef de vente;direttore delle vendite;director de ventas
Pressemitteilung;press release;information de presse;comunicato stampa;rueda de prensa
Wachstumsrate;growth rate;vitesse de croissance;tasso di crescita;velocidad de crecimiento
Kosten pro Stunde;costs per hour;coûts  horaires;costi per ora;costos por hora
Mittel;means (s);moyen;mezzo, medio;medio
unterstützen;support (v);prendre en charge;sostenere;dar apoyo
Sonderpreis;special price;prix réduit;prezzo speciale;precio especial
Betriebskosten;running/ operating costs;frais d'exploitation;spese d'esercizio;costos de funcionamiento
Verkaufspreis;sales price;prix de vente;prezzo di vendita;precio de venta
Zeitersparnis;time saving;économie de temps;risparmio di tempo;ahorro de tiempo
Durchschnittskosten;average cost;coût moyen;costo medio;coste medio
Gesetz;law;loi;legge;ley
Vorschrift;rule, prescription;prescription;prescrizione, istruzione;regla
Warenzeichen;trademark;marque déposée;marchio di fabbrica;marca comercial
Abkommen;agreement;accord;accordo;acuerdo, convenio
unterschreiben;sign (v);signer;firmare;firmar
berechtigt;authorized (a);agréé, authorisé (a);autorizzato;autorizado
ungültig;invalid (a);invalide;invalido;inválido
zulässig;admissible (a);admissible;permesso, ammesso;permisible, admisible
Gerichtsstand;court of jurisdiction;lieu de juridiction;foro;jurisdicción
Garantie;warranty, guarantee (s);garantie (f);garanzia;garantía
garantieren;guarantee (v);garantir;garantire;garantizar
Wartungsvertrag;maintenance agreement;contrat de maintenance;accordo di manutenzione;contrato di mantenimiento
Eintragung,Registrierung;registration;enregistrement;registrazione, entrata;registro
Genehmigung;permission, licence (s);permission, autorisation;permeso;permiso
eingetragen;registered (a);enregistré;registrato;registrado
Nutzungsvertrag;licence agreement;contrat de licence;contratto di licenza;licencia de utilización
Lizenzgeber;licenser;concesseur de licence;datore di licenza;concesionista
Lizenznehmer;licensee;licencié;licenziatario;concesionario
Missbrauch;abuse (s);abus, emploi abusif;abuso;abuso
knacken;crack (v);deviner, résoudre;sciogliere, risolvere;crujir, partirse
unberechtigt;unauthorized (a);non autorisé;non autorizzato;desautorizado
ungesetzlich;illegal (a);interdit;illegale;prohibido, ilegal
Übertretung;violation;infraction, violation;trasgressione;violación
